state,symbol,next
s0,"P",s1
s2,"V",s3
s3,"A",s5
s3,"ES",s6
s3,"CMD",s7
s3,"COND",s8
s3,"CABEÇALHO",s13
s4,"LV",s15
s4,"D",s16
s6,"A",s19
s6,"ES",s6
s6,"CMD",s7
s6,"COND",s8
s6,"CABEÇALHO",s13
s7,"A",s20
s7,"ES",s6
s7,"CMD",s7
s7,"COND",s8
s7,"CABEÇALHO",s13
s8,"A",s21
s8,"ES",s6
s8,"CMD",s7
s8,"COND",s8
s8,"CABEÇALHO",s13
s11,"ARG",s23
s13,"ES",s29
s13,"CMD",s30
s13,"COND",s31
s13,"CABEÇALHO",s13
s13,"CORPO",s28
s16,"LV",s34
s16,"D",s16
s18,"TIPO",s36
s27,"LD",s42
s27,"OPRD",s43
s29,"ES",s29
s29,"CMD",s30
s29,"COND",s31
s29,"CABEÇALHO",s13
s29,"CORPO",s46
s30,"ES",s29
s30,"CMD",s30
s30,"COND",s31
s30,"CABEÇALHO",s13
s30,"CORPO",s47
s31,"ES",s29
s31,"CMD",s30
s31,"COND",s31
s31,"CABEÇALHO",s13
s31,"CORPO",s48
s33,"OPRD",s50
s33,"EXP_R",s49
s53,"OPRD",s56
s55,"OPRD",s58
